"filename", "language", "HTML", "TypeScript JSX", "TypeScript", "SCSS", "Rust", "JSON", "XML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\dist\assets\calulator-BT6sUfMS.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\dist\assets\index-B24nQ7bT.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 41, 52, 1, 94
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\dist\assets\index-Dq2-nsQc.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\dist\assets\settings-DBr9mgm5.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\dist\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\index.html", "HTML", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\package.json", "JSON", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 39
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 3, 11
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src-tauri\tauri.conf.json", "JSON", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\App.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\Main.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\Wrapper.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\api\api.ts", "TypeScript", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 7, 116
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\arrow.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\arrow2.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\calender.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\calulator.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\close.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\dots.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\edit.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
