"filename", "language", "TypeScript JSX", "TypeScript", "SCSS", "XML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\components\widgets\calculator\calculator.tsx", "TypeScript JSX", 51, 0, 0, 0, 0, 0, 0, 3, 54
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\components\widgets\current\currentDay.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\components\widgets\days\days.tsx", "TypeScript JSX", 117, 0, 0, 0, 0, 0, 0, 9, 126
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\components\widgets\equity\equity.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\components\widgets\notes\notes.tsx", "TypeScript JSX", 93, 0, 0, 0, 0, 0, 0, 8, 101
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\components\widgets\trades\trades.tsx", "TypeScript JSX", 122, 0, 0, 0, 0, 0, 0, 11, 133
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\journal\components\topbar\journal.tsx", "TypeScript JSX", 130, 0, 0, 0, 0, 0, 0, 5, 135
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\journal\journal.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\journal\journal.tsx", "TypeScript JSX", 33, 0, 0, 0, 0, 0, 0, 0, 33
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\news\news.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 0, -1, 5
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\types\user.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 5, 33
"Total", "-", 426, 28, -84, 6, 1, -8, 0, 16, 385
